campaign_name,campaign_type,target_segment,start_date,end_date,attrition_window_end_date,age,state,order_total,transaction_date,transaction_id,product_category,store_location
Fall Promotion 2024,Online Display Ads,Adults (26-40),12/29/2023,2/27/2024,3/28/2024,28,Michigan,461.55,3/8/2024,008ffa18-24af-45f5-8b04-4b1f31e474bf,Smart Home Devices,San Francisco CA
Holiday Deals 2024,Search Engine Marketing,Home Improvement,11/7/2024,12/7/2024,1/6/2025,44,Pennsylvania,363.36,11/28/2024,009bd4eb-bd52-433e-80a7-8b84cd578f28,Home Decor,Denver CO
Back to School Bonanza 2024,In-Store Promotion,East Coast,10/6/2024,11/5/2024,12/5/2024,44,Pennsylvania,363.36,11/28/2024,009bd4eb-bd52-433e-80a7-8b84cd578f28,Home Decor,Denver CO
Spring Special 2024,Radio Advertisement,Home Improvement,10/16/2024,11/15/2024,12/15/2024,44,Pennsylvania,363.36,11/28/2024,009bd4eb-bd52-433e-80a7-8b84cd578f28,Home Decor,Denver CO
Weekend Event 2024,Print Advertisement,Middle-aged (41-60),10/31/2024,11/30/2024,12/30/2024,44,Pennsylvania,363.36,11/28/2024,009bd4eb-bd52-433e-80a7-8b84cd578f28,Home Decor,Denver CO
Back to School Promotion 2024,Radio Advertisement,East Coast,9/19/2024,11/3/2024,12/3/2024,44,Pennsylvania,363.36,11/28/2024,009bd4eb-bd52-433e-80a7-8b84cd578f28,Home Decor,Denver CO
VIP Special 2024,Social Media,East Coast,4/25/2024,6/24/2024,7/24/2024,25,New Jersey,2779.45,7/2/2024,00a38e9a-16bb-4c0f-8d37-5262434f6e86,Laptops,San Francisco CA
Flash Extravaganza 2024,Online Display Ads,Young Adults (18-25),6/30/2024,9/28/2024,10/28/2024,25,New Jersey,2779.45,7/2/2024,00a38e9a-16bb-4c0f-8d37-5262434f6e86,Laptops,San Francisco CA
Anniversary Promotion 2024,SMS Marketing,Young Adults (18-25),5/25/2024,6/24/2024,7/24/2024,25,New Jersey,2779.45,7/2/2024,00a38e9a-16bb-4c0f-8d37-5262434f6e86,Laptops,San Francisco CA
Clearance Promotion 2024,Influencer Marketing,Technology Enthusiasts,9/8/2024,11/7/2024,12/7/2024,52,Texas,179.61,12/6/2024,00a5a3a2-cfc0-44be-95ec-f7a4dcd336d8,Tablets,Online
New Year Bonanza 2024,In-Store Promotion,Southern States,11/9/2024,12/24/2024,1/23/2025,52,Texas,179.61,12/6/2024,00a5a3a2-cfc0-44be-95ec-f7a4dcd336d8,Tablets,Online
Weekend Event 2024,Print Advertisement,Middle-aged (41-60),10/31/2024,11/30/2024,12/30/2024,52,Texas,179.61,12/6/2024,00a5a3a2-cfc0-44be-95ec-f7a4dcd336d8,Tablets,Online
Fall Promotion 2024,Online Display Ads,Adults (26-40),12/29/2023,2/27/2024,3/28/2024,29,North Carolina,6552.3,2/10/2024,00b07a65-1909-4b8f-9598-7cb8d3d16030,Laptops,Online
Flash Special 2024,Search Engine Marketing,Midwest,6/16/2024,8/15/2024,9/14/2024,52,Ohio,235,6/21/2024,00b5f82f-77c7-40c9-977a-23b30e91bacd,Small Kitchen Appliances,Atlanta GA
Fall Promotion 2024,Online Display Ads,Adults (26-40),12/29/2023,2/27/2024,3/28/2024,37,Illinois,1485.23,2/8/2024,00b78522-8c1b-432c-80a4-40a8b3a17de5,TVs,Houston TX
Black Friday Discount 2024,Social Media,In-Store Shoppers,12/6/2023,1/20/2024,2/19/2024,37,Illinois,1485.23,2/8/2024,00b78522-8c1b-432c-80a4-40a8b3a17de5,TVs,Houston TX
Limited Time Promotion 2024,In-Store Promotion,Southern States,4/27/2024,6/26/2024,7/26/2024,51,North Carolina,2141.14,6/21/2024,00b83eaa-7ccf-4a80-bcdf-854b2f52d3ad,TVs,Atlanta GA
Weekend Bonanza 2024,Search Engine Marketing,Home Improvement,6/13/2024,9/11/2024,10/11/2024,23,California,466,9/24/2024,00bde929-55b3-45c9-a78b-e155f9c94e32,Smart Home Devices,Miami FL
Flash Extravaganza 2024,Online Display Ads,Young Adults (18-25),6/30/2024,9/28/2024,10/28/2024,23,California,466,9/24/2024,00bde929-55b3-45c9-a78b-e155f9c94e32,Smart Home Devices,Miami FL
Limited Time Extravaganza 2024,Search Engine Marketing,West Coast,8/12/2024,10/11/2024,11/10/2024,23,California,466,9/24/2024,00bde929-55b3-45c9-a78b-e155f9c94e32,Smart Home Devices,Miami FL
Black Friday Collection 2024,SMS Marketing,Home Improvement,9/12/2024,10/12/2024,11/11/2024,23,California,466,9/24/2024,00bde929-55b3-45c9-a78b-e155f9c94e32,Smart Home Devices,Miami FL
Fall Event 2024,Online Display Ads,Middle-aged (41-60),12/29/2023,2/12/2024,3/13/2024,43,Florida,1406.06,2/13/2024,00c0def9-f220-4b32-a27f-e4aa7eb7fc82,TVs,Los Angeles CA
New Year Collection 2024,Online Display Ads,Middle-aged (41-60),2/2/2024,2/9/2024,3/10/2024,43,Florida,1406.06,2/13/2024,00c0def9-f220-4b32-a27f-e4aa7eb7fc82,TVs,Los Angeles CA
Black Friday Discount 2024,Social Media,In-Store Shoppers,12/6/2023,1/20/2024,2/19/2024,43,Florida,1406.06,2/13/2024,00c0def9-f220-4b32-a27f-e4aa7eb7fc82,TVs,Los Angeles CA
Fall Promotion 2024,Online Display Ads,Adults (26-40),12/29/2023,2/27/2024,3/28/2024,30,North Carolina,1009.98,2/7/2024,00cf2a4c-1e56-4c0c-b9b3-40f16dae1eee,Smartphones,Denver CO
New Year Deals 2024,Email Marketing,Southern States,12/10/2023,1/9/2024,2/8/2024,30,North Carolina,1009.98,2/7/2024,00cf2a4c-1e56-4c0c-b9b3-40f16dae1eee,Smartphones,Denver CO
Black Friday Discount 2024,Social Media,In-Store Shoppers,12/6/2023,1/20/2024,2/19/2024,30,North Carolina,1009.98,2/7/2024,00cf2a4c-1e56-4c0c-b9b3-40f16dae1eee,Smartphones,Denver CO
Back to School Bonanza 2024,In-Store Promotion,East Coast,10/6/2024,11/5/2024,12/5/2024,41,Massachusetts,170.51,10/24/2024,00d6dbf6-20ff-4707-b0dc-f4f43fca933a,Smart Home Devices,Houston TX
Spring Special 2024,Radio Advertisement,Home Improvement,10/16/2024,11/15/2024,12/15/2024,41,Massachusetts,170.51,10/24/2024,00d6dbf6-20ff-4707-b0dc-f4f43fca933a,Smart Home Devices,Houston TX
Black Friday Collection 2024,SMS Marketing,Home Improvement,9/12/2024,10/12/2024,11/11/2024,41,Massachusetts,170.51,10/24/2024,00d6dbf6-20ff-4707-b0dc-f4f43fca933a,Smart Home Devices,Houston TX
VIP Extravaganza 2024,Influencer Marketing,Middle-aged (41-60),8/19/2024,10/18/2024,11/17/2024,41,Massachusetts,170.51,10/24/2024,00d6dbf6-20ff-4707-b0dc-f4f43fca933a,Smart Home Devices,Houston TX
Back to School Promotion 2024,Radio Advertisement,East Coast,9/19/2024,11/3/2024,12/3/2024,41,Massachusetts,170.51,10/24/2024,00d6dbf6-20ff-4707-b0dc-f4f43fca933a,Smart Home Devices,Houston TX
New Year Bonanza 2024,In-Store Promotion,Southern States,11/9/2024,12/24/2024,1/23/2025,35,Virginia,267.84,12/22/2024,00de425b-7416-4aaa-babb-238873bc36b7,Cookware,Online
Holiday Deals 2024,Search Engine Marketing,Home Improvement,11/7/2024,12/7/2024,1/6/2025,38,Georgia,47.02,11/17/2024,00eb4fc7-a6e2-4e3b-9a95-4e7a24e3773b,Smart Home Devices,Miami FL
New Year Bonanza 2024,In-Store Promotion,Southern States,11/9/2024,12/24/2024,1/23/2025,38,Georgia,47.02,11/17/2024,00eb4fc7-a6e2-4e3b-9a95-4e7a24e3773b,Smart Home Devices,Miami FL
Spring Special 2024,Radio Advertisement,Home Improvement,10/16/2024,11/15/2024,12/15/2024,38,Georgia,47.02,11/17/2024,00eb4fc7-a6e2-4e3b-9a95-4e7a24e3773b,Smart Home Devices,Miami FL
Weekend Bonanza 2024,Search Engine Marketing,Home Improvement,6/13/2024,9/11/2024,10/11/2024,51,Illinois,1814.86,8/23/2024,01076b9e-b085-480e-b7ff-6ea592d45a56,Furniture,Online
Flash Special 2024,Search Engine Marketing,Midwest,6/16/2024,8/15/2024,9/14/2024,51,Illinois,1814.86,8/23/2024,01076b9e-b085-480e-b7ff-6ea592d45a56,Furniture,Online
VIP Extravaganza 2024,Influencer Marketing,Middle-aged (41-60),8/19/2024,10/18/2024,11/17/2024,51,Illinois,1814.86,8/23/2024,01076b9e-b085-480e-b7ff-6ea592d45a56,Furniture,Online
Clearance Promotion 2024,Influencer Marketing,Technology Enthusiasts,9/8/2024,11/7/2024,12/7/2024,30,Arizona,1115,10/3/2024,010d701f-d3d0-4266-b999-2e124962d2ad,Smartphones,Online
Limited Time Extravaganza 2024,Search Engine Marketing,West Coast,8/12/2024,10/11/2024,11/10/2024,30,Arizona,1115,10/3/2024,010d701f-d3d0-4266-b999-2e124962d2ad,Smartphones,Online
Weekend Bonanza 2024,Search Engine Marketing,Home Improvement,6/13/2024,9/11/2024,10/11/2024,37,California,884.61,8/24/2024,011862eb-f658-40a8-b4a3-4280ae211853,Home Decor,Los Angeles CA
Limited Time Extravaganza 2024,Search Engine Marketing,West Coast,8/12/2024,10/11/2024,11/10/2024,37,California,884.61,8/24/2024,011862eb-f658-40a8-b4a3-4280ae211853,Home Decor,Los Angeles CA
Flash Extravaganza 2024,Online Display Ads,Young Adults (18-25),6/30/2024,9/28/2024,10/28/2024,23,New York,1494.2,8/6/2024,0121ca68-164a-4cda-b2eb-de4aa7217e8a,Gaming Consoles,Online
Holiday Deals 2024,Search Engine Marketing,Home Improvement,11/7/2024,12/7/2024,1/6/2025,35,North Carolina,276.72,11/14/2024,01312555-c933-4c1c-b5dc-8389806f51d3,Smart Home Devices,New York NY
New Year Bonanza 2024,In-Store Promotion,Southern States,11/9/2024,12/24/2024,1/23/2025,35,North Carolina,276.72,11/14/2024,01312555-c933-4c1c-b5dc-8389806f51d3,Smart Home Devices,New York NY
Spring Special 2024,Radio Advertisement,Home Improvement,10/16/2024,11/15/2024,12/15/2024,35,North Carolina,276.72,11/14/2024,01312555-c933-4c1c-b5dc-8389806f51d3,Smart Home Devices,New York NY
Weekend Bonanza 2024,Search Engine Marketing,Home Improvement,6/13/2024,9/11/2024,10/11/2024,20,North Carolina,1765.6,8/21/2024,01374a27-3fa7-4734-8466-1b746056ad4d,Furniture,Houston TX
Flash Extravaganza 2024,Online Display Ads,Young Adults (18-25),6/30/2024,9/28/2024,10/28/2024,20,North Carolina,1765.6,8/21/2024,01374a27-3fa7-4734-8466-1b746056ad4d,Furniture,Houston TX
Clearance Promotion 2024,Influencer Marketing,Technology Enthusiasts,9/8/2024,11/7/2024,12/7/2024,26,California,331.72,11/6/2024,013b7fbb-5d22-491c-9e82-86570b70f179,Gaming Consoles,Online
Limited Time Promotion 2024,In-Store Promotion,Southern States,4/27/2024,6/26/2024,7/26/2024,26,North Carolina,2190.81,6/11/2024,013c75db-0ac6-4abb-97fc-25f234443f37,Laptops,Online
New Year Bonanza 2024,In-Store Promotion,Southern States,11/9/2024,12/24/2024,1/23/2025,44,Texas,398.9,1/20/2025,014d3876-992e-4ace-92e3-43c96489d077,Smart Home Devices,Online
Weekend Bonanza 2024,Search Engine Marketing,Home Improvement,6/13/2024,9/11/2024,10/11/2024,52,North Carolina,2565.36,8/29/2024,015714ab-317a-4313-b0e4-207ea503415e,Furniture,Online
VIP Extravaganza 2024,Influencer Marketing,Middle-aged (41-60),8/19/2024,10/18/2024,11/17/2024,52,North Carolina,2565.36,8/29/2024,015714ab-317a-4313-b0e4-207ea503415e,Furniture,Online
Clearance Promotion 2024,Influencer Marketing,Technology Enthusiasts,9/8/2024,11/7/2024,12/7/2024,36,Illinois,667.24,12/7/2024,0160b19c-e6ce-46ac-8b9d-47466aa1883f,Gaming Consoles,Online
Holiday Deals 2024,Search Engine Marketing,Home Improvement,11/7/2024,12/7/2024,1/6/2025,42,Illinois,4143.58,11/15/2024,01707ad7-87ed-4daf-a6cd-011a662bc01a,Furniture,Online
Spring Special 2024,Radio Advertisement,Home Improvement,10/16/2024,11/15/2024,12/15/2024,42,Illinois,4143.58,11/15/2024,01707ad7-87ed-4daf-a6cd-011a662bc01a,Furniture,Online
Weekend Event 2024,Print Advertisement,Middle-aged (41-60),10/31/2024,11/30/2024,12/30/2024,42,Illinois,4143.58,11/15/2024,01707ad7-87ed-4daf-a6cd-011a662bc01a,Furniture,Online
VIP Extravaganza 2024,Influencer Marketing,Middle-aged (41-60),8/19/2024,10/18/2024,11/17/2024,42,Illinois,4143.58,11/15/2024,01707ad7-87ed-4daf-a6cd-011a662bc01a,Furniture,Online
Weekend Bonanza 2024,Search Engine Marketing,Home Improvement,6/13/2024,9/11/2024,10/11/2024,40,California,1589.44,7/27/2024,01793e73-8070-4e66-87d2-034643c7725c,Furniture,Atlanta GA
Black Friday Extravaganza 2024,Influencer Marketing,West Coast,6/16/2024,6/30/2024,7/30/2024,40,California,1589.44,7/27/2024,01793e73-8070-4e66-87d2-034643c7725c,Furniture,Atlanta GA
Fall Promotion 2024,Online Display Ads,Adults (26-40),12/29/2023,2/27/2024,3/28/2024,40,Texas,1080.54,1/10/2024,01797de3-d7ed-4618-8863-066917bfbd0b,Kitchen Appliances,Denver CO
New Year Deals 2024,Email Marketing,Southern States,12/10/2023,1/9/2024,2/8/2024,40,Texas,1080.54,1/10/2024,01797de3-d7ed-4618-8863-066917bfbd0b,Kitchen Appliances,Denver CO
Black Friday Discount 2024,Social Media,In-Store Shoppers,12/6/2023,1/20/2024,2/19/2024,40,Texas,1080.54,1/10/2024,01797de3-d7ed-4618-8863-066917bfbd0b,Kitchen Appliances,Denver CO
Fall Promotion 2024,Online Display Ads,Adults (26-40),12/29/2023,2/27/2024,3/28/2024,29,New York,1345.08,1/31/2024,01814217-1dbb-4203-b05f-0d7b87f47f01,Laptops,Online
Holiday Deals 2024,Search Engine Marketing,Home Improvement,11/7/2024,12/7/2024,1/6/2025,27,New York,59.18,12/20/2024,0182f22b-aaca-4caa-8c3d-55506ac0902b,Smart Home Devices,Online
VIP Special 2024,Social Media,East Coast,4/25/2024,6/24/2024,7/24/2024,64,Massachusetts,28.9,7/20/2024,018e0a34-9368-4094-83c1-1bfd1a4e97e9,Small Kitchen Appliances,Seattle WA
Summer Deals 2024,Print Advertisement,Seniors (60+),5/20/2024,7/4/2024,8/3/2024,64,Massachusetts,28.9,7/20/2024,018e0a34-9368-4094-83c1-1bfd1a4e97e9,Small Kitchen Appliances,Seattle WA
New Year Bonanza 2024,In-Store Promotion,Southern States,11/9/2024,12/24/2024,1/23/2025,30,North Carolina,69.32,12/4/2024,0194aad7-5d44-4a04-b9b4-a1fdb9348562,Small Kitchen Appliances,Online
Clearance Promotion 2024,Influencer Marketing,Technology Enthusiasts,9/8/2024,11/7/2024,12/7/2024,24,Pennsylvania,475.29,12/6/2024,0195eba9-b469-44f3-b319-aaed54e4c8f0,Gaming Consoles,Denver CO
Fall Event 2024,Online Display Ads,Middle-aged (41-60),12/29/2023,2/12/2024,3/13/2024,43,Florida,55.89,2/1/2024,019958bb-751c-45f8-a017-be5a6a03f379,Smart Home Devices,Online
New Year Deals 2024,Email Marketing,Southern States,12/10/2023,1/9/2024,2/8/2024,43,Florida,55.89,2/1/2024,019958bb-751c-45f8-a017-be5a6a03f379,Smart Home Devices,Online
Limited Time Promotion 2024,In-Store Promotion,Southern States,4/27/2024,6/26/2024,7/26/2024,37,Texas,3289.29,5/30/2024,01a0a304-6c59-4c98-ad4a-e2a6a7c1f10c,Furniture,Online
Holiday Deals 2024,Search Engine Marketing,Home Improvement,11/7/2024,12/7/2024,1/6/2025,43,New York,1508.96,12/19/2024,01a23cc8-9cc0-47f0-873e-56a4c4b46bda,Furniture,Online
Weekend Event 2024,Print Advertisement,Middle-aged (41-60),10/31/2024,11/30/2024,12/30/2024,43,New York,1508.96,12/19/2024,01a23cc8-9cc0-47f0-873e-56a4c4b46bda,Furniture,Online
Black Friday Discount 2024,Social Media,In-Store Shoppers,12/6/2023,1/20/2024,2/19/2024,20,Massachusetts,2568.08,1/7/2024,01a7214f-12d8-460f-a571-62bd349e7473,TVs,Atlanta GA
Flash Extravaganza 2024,Online Display Ads,Young Adults (18-25),6/30/2024,9/28/2024,10/28/2024,19,Georgia,3131.96,8/3/2024,01a92531-b78f-4fd4-b1e5-b6f0e51bc362,Gaming Consoles,Los Angeles CA
Holiday Deals 2024,Search Engine Marketing,Home Improvement,11/7/2024,12/7/2024,1/6/2025,26,Florida,75.81,12/21/2024,01ad839c-8748-4209-b71f-988301749b17,Smart Home Devices,New York NY
New Year Bonanza 2024,In-Store Promotion,Southern States,11/9/2024,12/24/2024,1/23/2025,26,Florida,75.81,12/21/2024,01ad839c-8748-4209-b71f-988301749b17,Smart Home Devices,New York NY
Back to School Sale 2024,Radio Advertisement,In-Store Shoppers,4/13/2024,5/13/2024,6/12/2024,42,Michigan,34.68,5/25/2024,01b90858-13f6-4e8e-97a5-381943df8ab6,Smart Home Devices,Houston TX
Flash Promotion 2024,SMS Marketing,Middle-aged (41-60),3/28/2024,4/27/2024,5/27/2024,42,Michigan,34.68,5/25/2024,01b90858-13f6-4e8e-97a5-381943df8ab6,Smart Home Devices,Houston TX
